CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
90046,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.27899999999999997,0.00011382,0.99989
90047,Existing Customer,44,M,4,,,$80K - $120K,Blue,37,5,1,2,4234.0,972,3262.0,1.7069999999999999,1348,27,1.7,0.23,6.3492e-05,0.9999399999999999
90048,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0,2362,28005.0,1.7080000000000002,1671,27,0.929,0.078,0.00023623,0.99976
90049,Existing Customer,41,M,3,,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,0.00014953,0.99985
90050,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.7879999999999999,0.00017468,0.9998299999999999
90051,Existing Customer,45,F,2,Graduate,Married,,Blue,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,5.5077e-05,0.9999399999999999
90052,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800,19179.0,0.9059999999999999,1178,27,0.929,0.086,5.703e-05,0.9999399999999999
90053,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,0.99616,0.0038363
90054,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,6.9242e-05,0.9999299999999999
90055,Existing Customer,47,F,4,,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,0.00020735,0.99979
90056,Existing Customer,54,M,2,,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,0.00021042,0.99979
90057,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,5.7151e-05,0.9999399999999999
90058,Existing Customer,59,M,1,High School,,$40K - $60K,Blue,46,4,1,2,14784.0,1374,13410.0,0.9209999999999999,1197,23,1.3,0.09300000000000001,5.0256e-05,0.99995
90059,Existing Customer,63,M,1,,Married,$60K - $80K,Blue,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,0.00018558,0.9998100000000001
90060,Existing Customer,44,F,3,Uneducated,Single,,Blue,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,0.00012144,0.9998799999999999
90061,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362,3423.0,0.7390000000000001,1045,38,0.9,0.285,7.6642e-06,0.9999899999999999
90062,Existing Customer,53,M,3,,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.6579999999999999,0.00021834,0.9997799999999999
90063,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690,761.0,1.3230000000000002,1596,26,1.6,0.69,0.00012458,0.9998799999999999
90064,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.6669999999999998,0.282,5.7762e-05,0.9999399999999999
90065,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,0.00018612,0.9998100000000001
90066,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.7140000000000001,0.135,9.7673e-05,0.9999
90067,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,6.2639e-05,0.9999399999999999
90068,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,0.00019864,0.9998
90069,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0,0.00035532,0.99964
90070,Existing Customer,57,F,1,Graduate,,$40K - $60K,Blue,49,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.24100000000000002,0.00016883,0.9998299999999999
90071,Attrited Customer,66,F,0,Doctorate,Married,,Blue,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.14300000000000002,0.077,0.9978,0.00219708
90072,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018000000000000002,0.00011811,0.9998799999999999
90073,Existing Customer,51,M,2,,Married,$40K - $60K,Blue,44,4,1,0,6205.0,2204,4001.0,0.8029999999999999,1347,28,0.556,0.355,2.2331e-05,0.99998
90074,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,0.00015785,0.99984
90075,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,6.9242e-05,0.9999299999999999
90076,Existing Customer,38,F,4,Graduate,Single,,Blue,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,0.00031726,0.9996799999999999
90077,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.3330000000000002,0.0,0.00020643,0.99979
90078,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,6.0759e-05,0.9999399999999999
90079,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0,2020,528.0,2.3569999999999998,1719,27,1.7,0.7929999999999999,0.00015460000000000002,0.99985
90080,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.07400000000000001,0.00030516,0.99969
90081,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,3.031e-05,0.99997
90082,Existing Customer,52,F,3,,Married,Less than $40K,Blue,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,0.00020516,0.99979
90083,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,0.9902799999999999,0.00972
90084,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,0.00018134,0.99982
90085,Existing Customer,49,M,2,,Married,$120K +,Blue,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,4.6151000000000006e-05,0.99995
90086,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,0.99671,0.00329379
90087,Existing Customer,49,F,4,Graduate,,Less than $40K,Blue,36,6,4,2,3298.0,2200,1098.0,0.6779999999999999,1052,32,0.6,0.667,0.00022797,0.99977
90088,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,4.3568e-05,0.9999600000000001
90089,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.4169999999999998,0.42200000000000004,0.00019683,0.9998
90090,Existing Customer,44,F,5,Graduate,Married,,Blue,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,5.6861e-05,0.9999399999999999
90091,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,0.00035539,0.99964
90092,Existing Customer,55,M,3,,Married,$80K - $120K,Blue,47,4,2,3,3436.0,2016,1420.0,0.9009999999999999,1097,33,0.833,0.5870000000000001,0.00021834,0.9997799999999999
90093,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0,0.99823,0.00177065
90094,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0,1251,4675.0,0.9440000000000001,1316,28,1.1540000000000001,0.21100000000000002,0.00027604,0.99972
90095,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957.0,2102,21855.0,0.997,1276,26,0.733,0.08800000000000001,0.00026824,0.9997299999999999
90096,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734.0,1634,13100.0,0.9890000000000001,1289,23,0.917,0.111,0.00011065,0.99989
90097,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516.0,1515,33001.0,0.5920000000000001,1293,32,0.6,0.044000000000000004,0.00015398,0.99985
90098,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276,0.00029411,0.99971
90099,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.7040000000000001,0.00031104,0.99969
90100,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687.0,1107,580.0,1.715,1670,17,2.4,0.6559999999999999,0.00011382,0.99989
90101,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300.0,1330,23970.0,1.072,837,15,2.0,0.053,0.00016471,0.99984
90102,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516.0,1763,32753.0,1.266,1550,41,1.05,0.051,0.00020077,0.9998
90103,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.28600000000000003,0.467,0.00030251,0.9997
90104,Existing Customer,54,M,1,Graduate,,$60K - $80K,Blue,43,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698,0.00017969,0.99982
90105,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913.0,1528,21385.0,0.414,1394,35,0.522,0.067,0.00012082,0.9998799999999999
90106,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312.0,1932,22380.0,1.3119999999999998,1341,24,1.182,0.079,0.00027607,0.99972
90107,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287,0.00017987,0.99982
90108,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36,0.00022797,0.99977
90109,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038.0,1801,5237.0,0.7509999999999999,2339,57,0.966,0.256,0.00023192,0.99977
90110,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.7190000000000001,5.7151e-05,0.9999399999999999
90111,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904.0,1899,27005.0,0.85,1334,35,0.4,0.066,0.00017987,0.99982
90112,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198,8.3212e-05,0.99992
90113,Existing Customer,44,M,1,,,$120K +,Blue,36,6,2,2,34516.0,1533,32983.0,0.924,1603,29,0.526,0.044000000000000004,0.00011743,0.9998799999999999
90114,Attrited Customer,55,F,4,,Married,$40K - $60K,Blue,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.7140000000000001,0.0,0.9976299999999999,0.00236635
90115,Existing Customer,59,F,1,Graduate,Married,,Blue,52,2,3,3,10133.0,1417,8716.0,0.38299999999999995,1068,20,0.818,0.14,0.00028395,0.99972
90116,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516.0,1219,33297.0,1.129,1590,27,2.0,0.035,0.00020404,0.9998
90117,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085.0,1910,1175.0,0.9209999999999999,1531,35,0.667,0.619,6.6354e-05,0.9999299999999999
90118,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040.0,2056,16984.0,0.607,1212,31,0.722,0.10800000000000001,6.6728e-05,0.9999299999999999
90119,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026.0,0,4026.0,0.483,1237,32,0.6,0.0,0.00020424,0.9998
90120,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756.0,837,11919.0,1.932,1413,14,1.8,0.066,0.00010943,0.99989
90121,Existing Customer,57,M,2,,Married,$120K +,Blue,45,5,3,3,5266.0,0,5266.0,1.702,1516,29,1.636,0.0,0.00033251,0.9996700000000001
90122,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,3,2,2,9930.0,0,9930.0,0.731,1276,21,1.3330000000000002,0.0,0.00011065,0.99989
90123,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,4,3,0,31302.0,1953,29349.0,0.875,1564,35,2.182,0.062,6.765e-05,0.9999299999999999
90124,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576.0,0,6576.0,0.579,1465,34,0.619,0.0,0.00034315,0.99966
90125,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664.0,2037,627.0,0.85,1286,29,0.9329999999999999,0.765,0.0001125,0.99989
90126,Existing Customer,45,F,3,,Married,,Blue,28,5,1,2,2535.0,2440,95.0,1.705,1312,20,1.222,0.963,6.282e-05,0.9999399999999999
90127,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709.0,895,814.0,1.656,1673,32,0.882,0.524,0.00034315,0.99966
90128,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454.0,1200,2254.0,0.597,1313,30,0.304,0.34700000000000003,0.00022556,0.99977
90129,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789.0,1706,2083.0,1.047,1609,42,0.68,0.45,0.00027008,0.9997299999999999
90130,Existing Customer,56,M,3,College,Married,$120K +,Blue,50,3,2,0,9689.0,2250,7439.0,0.5760000000000001,1158,19,0.727,0.23199999999999998,4.2358000000000003e-05,0.9999600000000001
90131,Attrited Customer,47,M,2,,Married,$80K - $120K,Blue,37,2,3,3,5449.0,1628,3821.0,0.696,836,18,0.385,0.299,0.997,0.00299743
90132,Existing Customer,49,F,3,College,Single,,Blue,43,4,4,0,23032.0,1960,21072.0,0.619,1289,22,1.0,0.085,8.0901e-05,0.99992
90133,Existing Customer,41,F,3,,Married,,Silver,34,5,3,3,34516.0,2053,32463.0,1.034,1487,26,0.733,0.059000000000000004,0.00031177,0.99969
90134,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940.0,1264,1676.0,0.562,1259,33,0.5,0.43,0.00011811,0.9998799999999999
90135,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031.0,1879,1152.0,0.7879999999999999,1298,15,1.5,0.62,0.00030251,0.9997
90136,Existing Customer,44,M,3,High School,,$60K - $80K,Blue,25,3,3,0,1862.0,0,1862.0,0.883,1226,34,0.789,0.0,6.6935e-05,0.9999299999999999
90137,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358.0,926,7432.0,0.762,1566,37,0.542,0.111,0.00037329,0.9996299999999999
90138,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1,2,34516.0,931,33585.0,0.828,1022,21,1.1,0.027000000000000003,6.4807e-05,0.9999399999999999
90139,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450.0,2440,12010.0,1.2830000000000001,1235,30,0.667,0.16899999999999998,0.00018475,0.99982
90140,Existing Customer,62,F,1,,Married,Less than $40K,Blue,56,6,0,0,1438.3,0,1438.3,0.813,1951,44,1.095,0.0,7.7559e-06,0.9999899999999999
90141,Existing Customer,54,M,4,,Divorced,$120K +,Blue,36,6,3,2,33791.0,1960,31831.0,0.618,1047,31,0.8240000000000001,0.057999999999999996,0.00020735,0.99979
90142,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3,0,8466.0,1886,6580.0,0.56,1342,32,0.391,0.223,6.9589e-05,0.9999299999999999
90143,Existing Customer,42,M,3,,Married,$60K - $80K,Blue,36,5,3,3,15088.0,865,14223.0,0.9390000000000001,1107,21,1.625,0.057,0.00034503,0.99965
90144,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263.0,1674,1589.0,0.588,1251,35,0.34600000000000003,0.513,5.6153e-05,0.9999399999999999
90145,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,2,1494.0,706,788.0,1.6740000000000002,1305,24,3.0,0.473,0.00010043,0.9999
90146,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1,0,13551.0,1294,12257.0,0.7909999999999999,1388,37,1.056,0.095,2.1081e-05,0.99998
90147,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2,2,18886.0,895,17991.0,1.8259999999999998,1235,18,1.571,0.047,0.00010684,0.99989
90148,Existing Customer,52,M,3,High School,,$80K - $120K,Blue,48,3,2,0,11976.0,1273,10703.0,1.024,2089,36,1.1179999999999999,0.106,4.2353999999999995e-05,0.9999600000000001
90149,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,39,4,1,4,9964.0,1559,8405.0,1.8730000000000002,1626,25,0.7859999999999999,0.156,0.00015942,0.99984
90150,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,6,3,24159.0,1196,22963.0,0.7120000000000001,1111,24,1.0,0.05,0.00032436,0.9996799999999999
90151,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44,3,2,3,5362.0,1901,3461.0,0.816,1553,38,1.0,0.355,0.0001861,0.9998100000000001
90152,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36,3,2,2,34516.0,1023,33493.0,1.004,1064,13,0.625,0.03,0.00011382,0.99989
90153,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174.0,1951,1223.0,0.7659999999999999,1243,29,0.611,0.615,2.7595999999999998e-05,0.99997
90154,Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,47,3,2,2,12262.0,1836,10426.0,1.584,1659,38,1.5330000000000001,0.15,0.00010386,0.9999
90155,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3,3788.0,1540,2248.0,0.5660000000000001,1594,47,0.382,0.40700000000000003,0.00030516,0.99969
90156,Existing Customer,55,M,2,College,Single,$120K +,Silver,42,2,3,2,34516.0,1527,32989.0,0.526,1268,42,0.355,0.044000000000000004,0.00015801,0.99984
90157,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2,2926.0,0,2926.0,0.6759999999999999,1304,24,0.846,0.0,0.00011811,0.9998799999999999
90158,Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,52,6,1,0,32090.0,0,32090.0,0.5670000000000001,1368,30,0.364,0.0,2.1306999999999998e-05,0.99998
90159,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3,2,11669.0,2227,9442.0,0.622,720,23,0.353,0.191,0.9944700000000001,0.005529999999999999
90160,Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,45,3,1,2,13532.0,1300,12232.0,0.846,1521,29,1.4169999999999998,0.096,5.3541999999999997e-05,0.99995
90161,Existing Customer,50,F,1,Uneducated,,Less than $40K,Silver,36,4,2,2,11888.0,2090,9798.0,0.7,1137,30,0.765,0.17600000000000002,9.9255e-05,0.9999
90162,Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,36,5,1,2,2393.0,1985,408.0,0.7879999999999999,978,16,0.778,0.83,5.1696999999999996e-05,0.99995
90163,Existing Customer,43,M,4,,Married,$40K - $60K,Blue,39,5,1,2,6111.0,2517,3594.0,0.632,1221,16,2.2,0.41200000000000003,6.3492e-05,0.9999399999999999
90164,Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,46,3,2,3,19270.0,1662,17608.0,1.186,1565,28,1.545,0.086,0.00020077,0.9998
90165,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43,3,1,4,3710.0,2517,1193.0,1.541,1578,34,0.7,0.6779999999999999,0.00014834,0.99985
90166,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3,3235.0,797,2438.0,0.541,1493,32,1.0,0.24600000000000002,0.00013405,0.99987
90167,Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,38,3,1,0,11749.0,788,10961.0,0.688,1178,27,0.929,0.067,2.1081e-05,0.99998
90168,Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,36,5,3,2,7753.0,2100,5653.0,0.8390000000000001,991,26,0.733,0.271,0.00017486,0.9998299999999999
90169,Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,40,5,1,0,10408.0,1186,9222.0,1.689,2560,42,1.2109999999999999,0.114,2.0715e-05,0.99998
90170,Existing Customer,63,F,1,College,Married,,Blue,36,6,2,3,3967.0,1568,2399.0,1.236,1657,29,1.2309999999999999,0.395,0.0001747,0.9998299999999999
90171,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4,2,2,6205.0,2517,3688.0,0.9390000000000001,1204,19,0.727,0.406,0.00013393,0.99987
90172,Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,38,1,3,3,8025.0,0,8025.0,0.654,673,18,0.8,0.0,0.99672,0.00328187
90173,Existing Customer,51,M,1,,Single,$120K +,Blue,42,6,2,3,9036.0,2327,6709.0,0.649,1131,18,0.636,0.258,0.00019751,0.9998
90174,Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,34,2,3,2,14926.0,2517,12409.0,1.996,1576,25,1.5,0.16899999999999998,0.00018864,0.9998100000000001
90175,Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,36,3,2,3,6335.0,1128,5207.0,0.397,1217,20,0.667,0.17800000000000002,0.00017969,0.99982
90176,Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,53,2,3,3,14979.0,0,14979.0,0.71,530,10,1.0,0.0,0.99639,0.00360825
90177,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,38,3,2,3,2732.0,0,2732.0,0.76,739,16,0.455,0.0,0.99518,0.00481999
90178,Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,32,6,3,2,2250.0,2117,133.0,1.162,1617,31,2.875,0.941,0.00017987,0.99982
90179,Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,50,3,2,0,10916.0,1536,9380.0,1.317,1592,34,1.0,0.141,4.1986e-05,0.9999600000000001
90180,Existing Customer,47,F,4,Graduate,Married,,Blue,36,4,1,3,5349.0,1228,4121.0,0.728,1343,30,1.308,0.23,9.7154e-05,0.9999
90181,Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,24,4,1,3,9366.0,1104,8262.0,0.5720000000000001,1303,39,0.625,0.11800000000000001,9.0056e-05,0.9999100000000001
90182,Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue,28,5,1,0,21617.0,0,21617.0,1.047,1351,22,0.467,0.0,2.0494e-05,0.99998
